NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Locations
NCT02477839,Efficacy and Safety of Lacosamide as Adjunctive Therapy in Subjects ≥1 Month to <4 Years With Partial-onset Seizures,https://clinicaltrials.gov/study/NCT02477839,COMPLETED,"The purpose of this trial is to assess the efficacy, safety and tolerability of lacosamide administered as add-on therapy with 1 to 3 anti-seizure medications. This trial is for children aged 1 month to less than 4 years with epilepsy who currently have uncontrolled partial-onset seizures.",Epilepsy With Partial-onset Seizures,DRUG: Lacosamide|OTHER: Placebo,"Change in Average Daily Frequency (ADF) of Electrographic Partial-onset Seizures From End-of-Baseline (EOB) Period Video-EEG to End-of-Maintenance (EOM) Period Video-EEG, The change in ADF of electrographic partial-onset seizures as measured on the End-of-Maintenance Period video-electroencephalogram (EEG) compared to the End-of-Baseline Period video-EEG.

Seizure frequency was analyzed using an analysis of covariance (ANCOVA) with terms for treatment, pooled randomized age stratum, pooled center, and Baseline seizure ADF. Seizure ADF was log transformed using the transformation of ln(X+1), where X is the seizure ADF. Baseline seizure ADF was log transformed.

Least squares means were based on log-transformed data of the full ANCOVA model., End-of-Baseline Period (Day -3 to Day 1) to End-of-Maintenance Period (Day 24 to Day 27)|Participant Withdrawals Due to Adverse Events (AEs) During the Study, An adverse event (AE) is any untoward medical occurrence in a patient or clinical study participant, temporally associated with the use of study medication, whether or not considered related to the study medication. An AE could, therefore, be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease (new or exacerbated) temporally associated with the use of study medication., From the Baseline Period (Day -7) to the End of Study Visit (up to 93 days)|Percentage of Participants With Adverse Events Reported Spontaneously by the Participant's Parent(s) and/or Legal Representative(s)/Caregiver(s) (in Accordance With Local Regulation) or Observed by the Investigator, An adverse event (AE) is any untoward medical occurrence in a patient or clinical study participant, temporally associated with the use of study medication, whether or not considered related to the study medication. An AE could, therefore, be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease (new or exacerbated) temporally associated with the use of study medication., From the Baseline Period (Day -7) to the End of Study Visit (up to 93 days)","UCB BIOSCIENCES, Inc.",,ALL,CHILD,PHASE3,255,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",6/5/2015,5/28/2020,"Sp0967 638, Birmingham, Alabama, 35233, United States|Sp0967 117, Tampa, Florida, 33609, United States|Sp0967 115, Henderson, Nevada, 89052, United States|Sp0967 120, Lebanon, New Hampshire, 03756, United States|Sp0967 129, Dallas, Texas, 75235, United States|Sp0967 630, San Antonio, Texas, 78207, United States|Sp0967 643, San Antonio, Texas, 78249, United States|Sp0967 142, Córdoba, Argentina|Sp0967 158, Passo Fundo, Brazil|Sp0967 152, Porto Alegre, Brazil|Sp0967 150, São Paulo, Brazil|Sp0967 154, São Paulo, Brazil|Sp0967 310, Plovdiv, Bulgaria|Sp0967 530, Beijing, China|Sp0967 535, Changchun, China|Sp0967 532, Chongqing, China|Sp0967 536, Nanchang, China|Sp0967 531, Shanghai, China|Sp0967 537, Shenzhen, China|Sp0967 613, Osijek, Croatia|Sp0967 610, Rijeka, Croatia|Sp0967 612, Zagreb, Croatia|Sp0967 320, Ostrava-Poruba, Czechia|Sp0967 349, Marseille, France|Sp0967 346, Rennes, France|Sp0967 344, Strasbourg, France|Sp0967 620, Tbilisi, Georgia|Sp0967 621, Tbilisi, Georgia|Sp0967 622, Tbilisi, Georgia|Sp0967 623, Tbilisi, Georgia|Sp0967 542, Athens, Greece|Sp0967 361, Budapest, Hungary|Sp0967 362, Budapest, Hungary|Sp0967 363, Budapest, Hungary|Sp0967 364, Budapest, Hungary|Sp0967 368, Budapest, Hungary|Sp0967 374, Petah tikva, Israel|Sp0967 397, Genova, Italy|Sp0967 398, Messina, Italy|Sp0967 381, Milano, Italy|Sp0967 700, Napoli, Italy|Sp0967 383, Roma, Italy|Sp0967 395, Roma, Italy|Sp0967 212, Seoul, Korea, Republic of|Sp0967 215, Seoul, Korea, Republic of|Sp0967 694, Aguascalientes, Mexico|Sp0967 561, Chihuahua, Mexico|Sp0967 569, Culiacán, Mexico|Sp0967 693, Culiacán, Mexico|Sp0967 563, Guadalajara, Mexico|Sp0967 564, Mexico, Mexico|Sp0967 568, Monterrey, Mexico|Sp0967 692, Monterrey, Mexico|Sp0967 650, Chisinau, Moldova, Republic of|Sp0967 720, Cebu, Philippines|Sp0967 724, Cebu, Philippines|Sp0967 721, Manila, Philippines|Sp0967 723, Manila, Philippines|Sp0967 727, Quezon City, Philippines|Sp0967 422, Kraków, Poland|Sp0967 750, Lisbon, Portugal|Sp0967 581, Bucuresti, Romania|Sp0967 582, Iaşi, Romania|Sp0967 573, Sibiu, Romania|Sp0967 577, Timişoara, Romania|Sp0967 454, Kemerovo, Russian Federation|Sp0967 456, Nizhny Novgorod, Russian Federation|Sp0967 452, Novosibirsk, Russian Federation|Sp0967 453, Omsk, Russian Federation|Sp0967 455, Perm, Russian Federation|Sp0967 730, Smolensk, Russian Federation|Sp0967 458, Tomsk, Russian Federation|Sp0967 459, Ulyanovsk, Russian Federation|Sp0967 450, Yekaterinburg, Russian Federation|Sp0967 461, Belgrade, Serbia|Sp0967 464, Belgrade, Serbia|Sp0967 463, Novi Sad, Serbia|Sp0967 474, Bratislava, Slovakia|Sp0967 224, Taipei, Taiwan|Sp0967 237, Bangkok, Thailand|Sp0967 235, Pathum Wan, Thailand|Sp0967 602, Dnipropetrovs'k, Ukraine|Sp0967 609, Dnipro, Ukraine|Sp0967 681, Ivano-Frankivs'k, Ukraine|Sp0967 600, Kiev, Ukraine|Sp0967 606, Kiev, Ukraine|Sp0967 682, Uzhgorod, Ukraine|Sp0967 603, Vinnytsia, Ukraine"
NCT06016686,Microelectrode Recordings From the Vagus Nerve in Awake Humans,https://clinicaltrials.gov/study/NCT06016686,RECRUITING,"This Anchillary project uses a refined technique of ultrasound-guided microneurography of the human cervical vagus nerve, an approach developed by Professor Vaughan Macefield and used safely to-date in 44 prior study participants.

The overall goal of this project is to build upon prior data obtained using this approach by undertaking a detailed neurophysiological investigation of the human vagus nerve and to identify the nerve fibers activated during vagal nerve stimulation (VNS) in participants with implanted VNS devices in response to different stimulation parameters. In addition to providing data in unprecedented detail into the physiology of the human vagus nerve, this project will investigate different stimulus intensities, durations and frequencies that differentially excite myelinated and unmyelinated nerve fibers. These results will inform the CSP and guide future development of novel neural interfaces for VNS for various clinical applications.",Epilepsy,OTHER: VNS stimulation and intraneural recordings|OTHER: Record multi-unit activity from intraneural sites,"identify action potential morphology of specific fibers activated by vagal nerve stimulation (VNS), assessing vagal nerve activity in epilepsy participants during and in the absence of stimulation. Labchart; spike histogram module, 4 hours|identify ratio of myelinated fibers in specific fibers activated by vagal nerve stimulation (VNS), assessing vagal nerve activity in epilepsy participants during and in the absence of stimulation. Labchart; spike histogram module. Whether a nerve fiber is (un)myelinated can be determined by visual inspection. Myelinated fibers typically produce ""a positive-going narrow spike profile., 4 hours|physiological identification of the specific fibers activated by vagal nerve stimulation (VNS), assessing vagal nerve activity in epilepsy participants during and in the absence of stimulation. Labchart; spike histogram module. use of tracing and nerve recordings analysis to identify the types of nerves, 4 hours|identify firing rates of the specific fibers activated by vagal nerve stimulation (VNS), assessing vagal nerve activity in epilepsy participants during and in the absence of stimulation. Labchart; spike histogram module. in Hertz, 4 hours|identify stimulus current required to activate specific fibers activated by vagal nerve stimulation (VNS), assessing vagal nerve activity in epilepsy participants during and in the absence of stimulation. Labchart; spike histogram module. in milli-amps, 4 hours|differences in firing rates of cardiac parasympathetic vagal activity, compare any changes in parasympathetic vagal activity with participants who have not been implanted with a vagal nerve stimulator (Non-VNS Participants).

Labchart; spike histogram module. Unit: Hz., 4 hours|Discharge variability of cardiac parasympathetic nerve fibers, Vagal nerve stimulator device. Coefficient of variation, %, 4 hours",University of Minnesota,,ALL,ADULT,PHASE1,60,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,4/1/2024,4/1/2025,"University of Minnesota, Minneapolis, Minnesota, 55455, United States|99 Commercial Road, Prahan Victoria, 3182, Australia"
NCT00181116,Levetiracetam for Benign Rolandic Epilepsy,https://clinicaltrials.gov/study/NCT00181116,COMPLETED,This study is designed to test if the language problems commonly seen in children with benign rolandic epilepsy would improve by switching anticonvulsants to levetiracetam.,Epilepsy,DRUG: Levetiracetam,Language improvement,Johns Hopkins University,UCB Pharma,ALL,CHILD,PHASE4,6,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2005-03,,"Johns Hopkins Hospital, Baltimore, Maryland, 21287, United States"
NCT00152516,"Long-Term, Follow-Up Study Of the Safety And Efficacy Of Levetiracetam In Children With Partial Onset Seizures",https://clinicaltrials.gov/study/NCT00152516,COMPLETED,"To allow pediatric patients with partial onset seizures an opportunity to receive (as follow-up to studies N01009(NCT00105040)/N01103(NCT00175890) or by direct enrollment) open-label levetiracetam treatment, continue studying cognition and behavior in children, and continue collection of safety/efficacy data.","Epilepsy, Partial",DRUG: levetiracetam (LEV),"Percentage Change (Reduction) of Partial (Type I) Seizure Frequency Per Week From Baseline Over Time During Treatment Period., Positive changes from Baseline indicate an improvement (i.e., a reduction) in seizure frequency per week., Up-titration/Conversion Period (2-8 weeks); Maintenance Period (2-8 weeks to 40-46 weeks)",UCB Pharma,,ALL,CHILD,PHASE3,255,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-10,2008-06,"Mobile, Alabama, United States|Phoenix, Arizona, United States|Los Angeles, California, United States|Denver, Colorado, United States|Washington, District of Columbia, United States|Bradenton, Florida, United States|Loxahatchee, Florida, United States|Orlando, Florida, United States|Pensacola, Florida, United States|Tallahassee, Florida, United States|Tampa, Florida, United States|Atlanta, Georgia, United States|Augusta, Georgia, United States|Chicago, Illinois, United States|New Orleans, Louisiana, United States|Boston, Massachusetts, United States|St. Paul, Minnesota, United States|Lebanon, New Hampshire, United States|Edison, New Jersey, United States|Voorhees, New Jersey, United States|Buffalo, New York, United States|New York, New York, United States|Rochester, New York, United States|Syracuse, New York, United States|Chapel Hill, North Carolina, United States|Cleveland, Ohio, United States|Hershey, Pennsylvania, United States|Philadelphia, Pennsylvania, United States|Charleston, South Carolina, United States|Germantown, Tennessee, United States|Nashville, Tennessee, United States|Fort Worth, Texas, United States|Galveston, Texas, United States|Salt Lake City, Utah, United States|Norfolk, Virginia, United States|Richmond, Virginia, United States|Morgantown, West Virginia, United States|Milwaukee, Wisconsin, United States|Brussels, Belgium|Leuven, Belgium|Campinas, Brazil|Curitiba, Brazil|Porto Alegre, Brazil|Ribeirao Preto, Brazil|Rio de Janeiro, Brazil|Sao Paulo, Brazil|Vancouver, British Columbia, Canada|Thornhill, Ontario, Canada|Toronto, Ontario, Canada|Brno, Czech Republic|Praha 4, Czech Republic|Lille Cedex, France|Paris, France|Strasbourg Cedex, France|Kehl, Kork, Germany|Berlin, Germany|Erlangen, Germany|Heidelberg, Germany|Jena, Germany|Kiel, Germany|Budapest, Hungary|Hyderabad, India|Lucknow, India|Mahim Mumbai, India|Mumbai, India|Pune Maharashtra, India|Calambrone, Italy|Genoa, Italy|Milano, Italy|Roma, Italy|Mexico City, Mexico|Gdansk, Poland|Bucharest, Romania|Cluj-Napoca, Romania|Tirgu-Mures, Romania|Kalingrad, Russian Federation|Moscow, Russian Federation|St Petersburg, Russian Federation|St. Petersburg, Russian Federation|Cape Town, South Africa|Capitol Park, South Africa|Johannesburg, South Africa|Bristol, United Kingdom|Cardiff, United Kingdom|London, United Kingdom"
NCT00678834,Human Tissue Distribution of Orally Supplemented Natural Vitamin E Tocotrienol,https://clinicaltrials.gov/study/NCT00678834,COMPLETED,"Levels of tocotrienol in human tissues following supplementation is not currently known. The objective of this present study is to determine the levels of this form of vitamin E in the human tissues such as skin, heart, lung, liver, adipose tissue, Brain and cerebrospinal fluid (CSF) following oral supplementation",End Stage Cardiac Failure|Pulmonary Failure|End Stage Liver Disease|Morbid Obesity|Recalcitrant Epilepsy Requiring Surgery|Healthy Subjects,"DIETARY_SUPPLEMENT: To surgery patients, Tocopherol capsules.|DIETARY_SUPPLEMENT: Tocotrienol to healthy subjects.|DIETARY_SUPPLEMENT: To surgery patients, Tocotrienol capsules.","The Levels of TCT in the Tissues of ""Non-healthy"" Subjects and in the Tissue of ""Healthy"" Subjects Following Oral Supplementation (200 mg x 2 Per Day for 4-24 Weeks), After at least 1 month of supplementation",Chandan K Sen,Carotech Inc.,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: ,2006-03,2012-06,"The Ohio State University, Columbus, Ohio, 43211, United States"
NCT00179517,Treatment of Sexual Dysfunction in Hypogonadal Men With Epilepsy With Testosterone and Either Anastrozole or Placebo,https://clinicaltrials.gov/study/NCT00179517,COMPLETED,"The purpose of this study is to determine if treatment using a medication (anastrozole/Arimidex), which lowers estrogen levels in the blood is better than placebo, a tablet that does not contain any active medication, when combined with testosterone replacement to treat reproductive and sexual dysfunction in men with epilepsy. Anastrozole, the medication that is currently under study, does not, at this time, have FDA approval for use for this indication.",Seizure Disorder|Hypogonadism|Erectile Dysfunction,DRUG: Anastrozole 1mg|DRUG: Placebo Oral Tablet,"Sexual Function Scores, Calculated Using S-Score and Reynolds' Sexual Questionnaires, Will Increase More Anastrozole and Testosterone Treatment Than With Placebo and Testosterone Treatment., S-Scores and Reynolds Questionnaire scores were assessed at baseline and once a month over three months. The average change in score for each questionnaire over the 3 month study was reported. The S-Scores questionnaire measured sexual function and consisted of four questions with five possible answers. The total scale range was 0-20, with higher scores were considered better. S-Scores that were greater than or equal to 16/20 were considered normalized S-Scores. Reynolds Questionnaire is a 21 item survey that monitors sexual interest, activity, satisfaction, and function. The scale for the Reynolds questionnaire for sexual interest was from 0-12, with higher scores being better. The scale for sexual activity was 0-41 with higher scores being better. The sexual satisfaction scale was from 0-21 with higher scores being better. The scale for sexual function was from 0 to -12 with lower scores being better., 3 month average",Beth Israel Deaconess Medical Center,AstraZeneca,MALE,ADULT,PHASE2,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2001-06,2008-04,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02115, United States"
NCT00931619,GABA/Glutamate Balance in Temporal Lobe Epilepsy With and Without Major Depression,https://clinicaltrials.gov/study/NCT00931619,COMPLETED,"Objective: To study the relative balance of GABA (A) binding potential and glutamate utilization in subjects with localization-related epilepsy with and without depression, subjects with major depressive disorder alone, and in subjects with generalized epilepsy (expected not to have significant comorbid depression). Pilot data shows that GABA(A) binding potential and glutamate utilization are tightly coupled in healthy subjects particularly in the mesial temporal lobe. We hypothesize that subjects with epilepsy will not exhibit the same degree of coupling, and that subjects with both epilepsy and depression will exhibit an even more pronounced decoupling.

Study Population: Subjects aged 18-55 with localization-related epilepsy with and without depression, subjects with generalized epilepsy, subjects with major depressive disorder (MDD) alone, and healthy controls.

Design: This is a neuroimaging study, using positron emission tomography (PET) with \[11C\]flumazenil, to measure GABA(A) binding potential, and \[18F\]fluorodeoxyglucose, to measure glucose utilization (reflective of neuronal glutamate release) Magnetic resonance spectroscopy (MRS), will be used to measure GABA and glutamate in the mesial temporal cortex, and corroborate the PET results. Structural magnetic resonance images (MRI) will be obtained for MRS localization and partial volume correction of PET images.

Outcome measures: The binding potential of GABA(A), the regional rate of glucose metabolism, and the levels of GABA and glutamate as measured by MRS. Patients will be stratified by seizure type and depression ratings.

...","Epilepsy|Epilepsy, Temporal Lobe|Depression|Depressive Disorder, Major",,"The primary outcome measures will include GABA(A) binding potential and regional glucose metabolic rate as measured by PET, and GABA and glutamate levels as measured by MRS.",National Institute of Neurological Disorders and Stroke (NINDS),,ALL,ADULT,,29,NIH,OBSERVATIONAL,Observational Model: |Time Perspective: p,6/29/2009,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States"
NCT02726919,Clobazam Adjunctive Treatment of Adults With Refractory Focal Epilepsy,https://clinicaltrials.gov/study/NCT02726919,UNKNOWN,"The goal of the present study is to obtain pilot data on efficacy and safety of clobazam add-on treatment on adults with drug-resistant focal epilepsy.

This will be an open label study comparing seizure frequency during 12 weeks of baseline observation period with seizure frequency during 16 weeks of clobazam adjunctive treatment. 10 adults aged 18-65 with focal seizures that have failed to respond to ≥ 4 antiepileptic drugs (AEDs) +/- respective surgery will be enrolled. Following a baseline of 12 weeks patients will be started on clobazam, administered orally in b.i.d. schedule. In patients in whom seizure diaries have been kept prospectively prior to study screening visit, retrospective baseline will be accepted. Patients will be titrated up to either seizure freedom, to side effects or to 40 mg/day, whichever comes first. Titration rate will be not be forced. It is anticipated that the majority of subjects will have a 4 week-long titration period. After maximum dose is achieved, maintenance treatment will last for 12 weeks.",Epilepsy,DRUG: Clobazam,"seizure freedom, seizure freedom for 3 months of maintenance treatment with the highest tolerated clobazam dose, 12 weeks",Pavel Klein,H. Lundbeck A/S,ALL,"ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-02,2018-06,"MidAtlantic Epilepsy and Sleep Center, Bethesda, Maryland, 20817, United States"
NCT02633241,A Pilot Study of Dexmedetomidine-Propofol in Children Undergoing Magnetic Resonance Imaging,https://clinicaltrials.gov/study/NCT02633241,COMPLETED,This is a pilot study to determine if a standard bolus dose and infusion of dexmedetomidine can significantly decrease the dose of propofol (infusion) required for accomplishing an MRI. The investigators studied three arms to examine the effectiveness of dexmedetomidine. Arm 1 was a single bolus of 1.0 mcg/kg with 1.0 mcg/kg/hr infusion followed by propofol infusion. Arm 2 was a bolus of 1.0 mcg/kg with 0.5 mcg/kg/hr infusion followed by propofol infusion. Arm 3 was only a single bolus of 1.0 mcg/kg with no infusion followed by propofol infusion.,Epilepsy|Cerebral Palsy|Developmental Delay,DRUG: Dexmedetomidine bolus and high infusion-Propofol|DRUG: Dexmedetomidine bolus and low infusion-Propofol|DRUG: Dexmedetomidine bolus only - Propofol,"Dosage/Consumption, Dosage and consumption of dexmedetomidine infusion, Prior to beginning the MRI and throughout the MRI scan - approximately one hour.|Incidence of Patient Movement and MRI Interruption, If patient moved during their MRI and caused an interruption of the scan., During the MRI scan, until completion, approximately one hour.|Incidence of Adverse Events, arterial desaturation, airway obstruction, hypotension and bradycardia, From the time the medication is initiated just (5 minutes) prior to the MRI scan and during the MRI scan and immediately during recovery - approximately one hour and twenty minutes in total.|Case Times, Number of minutes from the start of sedation medication administration to the time the patient is adequately sedated for the MRI scan,, Timeframe immediately before the MRI scan while sedation medication is administered - approximately 10 minutes",Joseph Cravero,,ALL,CHILD,PHASE4,71,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,3/2/2017,9/6/2022,"Boston Children's Hospital, Boston, Massachusetts, 02115, United States"
NCT04015141,A Study to Evaluate Efficacy and Safety of Perampanel Administered as an Adjunctive Therapy in Pediatric Participants With Childhood Epilepsy,https://clinicaltrials.gov/study/NCT04015141,RECRUITING,The purpose of the study is to evaluate the efficacy of perampanel as measured by the 50 percent (%) responder rate during the maintenance period of the core study for seizure frequency in participants with pediatric epileptic syndrome (Cohort 1) and partial-onset seizures (POS) (Cohort 2).,Pediatric Epileptic Syndrome|Partial-onset Seizures,DRUG: Perampanel Oral Suspension|DRUG: Perampanel Tablet,"Proportion of 50% Responders For All Seizures During the Maintenance Period of Core Study, A response of 50% will be defined as a decrease in 28-day seizure frequency of equal or greater than 50% compared to baseline seizure frequency., Week 10 to Week 23",Eisai Inc.,,ALL,"CHILD, ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,5/31/2019,10/6/2024,"Phoenix Childrens Hospital, Phoenix, Arizona, 85016, United States|Center For Neurosciences, Tucson, Arizona, 85718, United States|David Geffen School of Medicine at UCLA, Los Angeles, California, 90095-3075, United States|David Geffen School of Medicine at UCLA, Los Angeles, California, 90095, United States|Childrens Hospital Colorado, Aurora, Colorado, 80045-7106, United States|Nemours Foundation Alfred Dupont Children's Hospital, Wilmington, Delaware, 19803, United States|Nicklaus Children's Hospital, Miami, Florida, 33155, United States|Pediatric Neurology PA, Orlando, Florida, 32819, United States|Pediatric Epilepsy and Neurology Specialists, Tampa, Florida, 33607, United States|Meridian Clinical Research-(Savannah Georgia), Savannah, Georgia, 31406, United States|Children's Hospital of Michigan, Detroit, Michigan, 48201, United States|Northeast Regional Epilepsy Group, Hackensack, New Jersey, 07601, United States|Columbia University Medical Center, New York, New York, 10032, United States|Wake Forest Baptist Medical Center - PPDS, Winston-Salem, North Carolina, 27157, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, 44106, United States|Dayton Children's Hospital, Dayton, Ohio, 45404, United States|Doernbecher Children's Hospital, Portland, Oregon, 97239, United States|Child Neurology Consultants of Austin, Austin, Texas, 78731, United States|Road Runner Research Ltd, San Antonio, Texas, 78249, United States|Children's Specialty Group, Norfolk, Virginia, 23510, United States|Children's Hospital of Richmond at VCU - CHoR-PIN, Richmond, Virginia, 23298, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States|Centre Neurologique William Lennox, Ottignies, Brabant Wallon, Belgium|UZ Brussel, Brussel, Brussels, Belgium|Cliniques Universitaires Saint-Luc, Bruxelles, Brussels, Belgium|Hôpital Universitaire des Enfants Reine Fabiola, Bruxelles, Brussels, Belgium|UZ Gent, Gent, Oost-Vlaanderen, Belgium|Hôpital Erasme, Anderlecht, Belgium|Fakultni nemocnice Brno, Brno, Czechia|Fakultni nemocnice Ostrava, Ostrava, Czechia|Fakultni nemocnice Plzen, Plzen, Czechia|Aarhus Universitetshospital, Aarhus N, Central Jutland, Denmark|Regionshospitalet Randers, Randers, Denmark|Hopitaux de La Timone, Marseille, Bouches-du-Rhône, France|Hôpital Pellegrin-Enfants, Bordeaux, France|Hopital Necker, Paris, France|Hopitaux de Paris CHU Hopital Robert Debre - Inserm U676, Paris, France|CHRU Rennes, Rennes, France|Centre Hospitalier Universitaire de Toulouse, Toulouse Cedex 9, France|Eisai Trial Site #4, Freiburg, Germany|Eisai Trial Site #2, Jena, Germany|Eisai Trial Site #3, Munich, Germany|Kleinwachau Saechsisches Epilepsiezentrum Radeberg Gemeinnuetzige Gmbh, Radeberg, Germany|Centro Medico Teknon - Grupo Quironsalud, Barcelona, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Spain|CHUS - H. Clinico U. de Santiago, Santiago de Compostela, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain"
NCT02661919,Assessment of the Emfit Mattress Sensor for Detection and Alarm of Night-time Generalized Tonic-clonic Seizures.,https://clinicaltrials.gov/study/NCT02661919,UNKNOWN,"Sudden unexpected death in epilepsy (SUDEP) is the most important epilepsy-related mode of death. The exact mechanism of SUDEP is not known. It is thought that cardiac and respiratory factors are involved. Several ways of preventing SUDEP have been identified. These include seizure control, stress reduction, physical activity, family's ability to perform CPR, and night supervision.

A mattress alarm system that monitors nocturnal seizures can alert family members of night time seizure activity. Thus, a family member could provide aid and therefore potentially avoid SUDEP. The Emfit monitor is intended to perform these tasks.

Investigators tested the Emfit mattress monitor DVM-GPRS-V2 in combination with the Emfit bed sensor L-4060SL in the epilepsy monitoring unit and were able to demonstrate that the device has a high predictive value for detection of generalized convulsions and that it can notify caregivers in the early stages of convulsive activity.

This study will further investigate the upgraded (connected to a cloud server via an integrated cellular GPRS module) Emfit mattress monitor DVM-GPRS-V2 and the upgraded Emfit mattress sensor L-4060SLC in combination with an acoustic and new cloud-based notification system.",Epilepsy|Seizures,DEVICE: Emfit mattress sensor,"Alarm effectiveness, Investigators are testing the efficacy of the Emfit mattress monitor acoustic notifications for detecting GTC seizures. During video-eeg monitoring clinically detected GTC seizures are listed. These records are compared to Emfit monitor sound notications detected at video recordings. The true-positive, false-positive and false-negative calculations are primary outcome., 22 months","Emfit, Corp.",,ALL,"ADULT, OLDER_ADULT",NA,50,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,10/1/2019,6/30/2020,"Northwestern Memorial Hospital, Chicago, Illinois, 60611, United States"
NCT05755919,Functional Brain Mapping for Patients With Epilepsy,https://clinicaltrials.gov/study/NCT05755919,RECRUITING,We aim to determine the clinical utility of 'dynamic tractography': a novel method for visualizing electrical neural transfers that incorporates the underlying white matter tracts and supporting linguistic processing. We will also determine how well objective electrophysiology biomarkers will improve the prediction of language outcomes following epilepsy surgery. This project will ultimately optimize understanding of how the human brain develops its language network dynamics.,Epilepsy,PROCEDURE: Epilepsy surgery,"Language outcome, Neuropsychological scores, 1 year",Wayne State University,,ALL,"CHILD, ADULT",NA,80,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,5/16/2022,2/28/2027,"Children's Hospital of Michigan, Detroit, Michigan, 48201, United States|Wayne State University, Detroit, Michigan, 48201, United States"
